Reviews,positive,negative,neutral
"Great product, very useful!",0.85,0.05,0.1
Poor quality and bad customer service.😡,0.0,0.92,0.08
"Average performance, nothing special.",0.2,0.3,0.5
"Exceeded my expectations, fantastic!",0.95,0.03,0.02
"Terrible, not worth the money.😞",0.0,0.9,0.1
"Quite good, but could be improved.",0.2,0.4,0.4
"Mediocre at best, not recommended.",0.12,0.78,0.1
"Wonderful design, highly recommended!",0.9,0.0,0.1
"Awful experience, would not buy again.",0.0,0.95,0.05
"Solid product, good value for the price.",0.8,0.0,0.2
Highly satisfied with the purchase.,0.95,0.02,0.03
The product broke after a few uses.,0.0,0.8,0.2
I would definitely buy this again!😄,0.9,0.0,0.1
"Not as described, very disappointed.",0.06,0.73,0.21
Customer service was really helpful.,0.8,0.1,0.1
It works perfectly as expected.,0.98,0.01,0.01
I had a terrible experience with this.,0.0,0.8,0.2
Well worth the money.,0.95,0.01,0.04
Waste of time and money.,0.0,0.9,0.1
Absolutely love this product!,0.99,0.01,0.0
It didn’t work as advertised.,0.04,0.72,0.24
Very reliable and easy to use.,0.8,0.1,0.1
"I had higher expectations, sadly disappointed.",0.03,0.65,0.32
"Delivered quickly, works as intended.",0.9,0.05,0.05
"Horrible quality, won’t buy again.",0.0,0.8,0.2
This is the best purchase I’ve made.,0.8,0.0,0.2
It stopped working after a month.,0.01,0.72,0.27
I’m quite pleased with this product.,0.9,0.01,0.09
"Very cheap material, not durable.",0.01,0.98,0.01
Fantastic performance for the price.,0.83,0.01,0.16
Extremely frustrating experience.,0.07,0.83,0.1
User-friendly and well-designed.,0.8,0.1,0.1
Not worth the price at all.🙁,0.0,1.0,0.0
Better than expected!,0.9,0.1,0.0
The instructions were very unclear.,0.2,0.3,0.5
Would definitely recommend to others.,0.87,0.03,0.1
Very underwhelming experience.,0.03,0.85,0.12
"Does the job, no complaints.",0.8,0.1,0.1
I regret purchasing this item.,0.0,0.83,0.17
Great value for money!😃,0.98,0.0,0.02
"Arrived damaged, very disappointed.",0.0,0.9,0.1
Exceeded my expectations!,0.95,0.012,0.038
Not what I was hoping for.,0.08,0.64,0.28
Happy with the purchase overall.,0.9,0.04,0.06
Total waste of money.,0.0,0.9,0.1
"Amazing product, highly satisfied!",0.95,0.0,0.05
"Not durable, broke after a few uses.",0.0,0.9,0.1
Fantastic design and great quality.,0.9,0.0,0.1
Wouldn’t recommend to others.,0.0,0.8,0.2
"Excellent value, would buy again.",0.9,0.0,0.1
"Terrible product, avoid at all costs.",0.05,0.92,0.03
